Class,Biological Process,Gene
Adaptive Immunity,T-cell Checkpoints,CMTM4 
Adaptive Immunity,T-cell Checkpoints,CTLA4 
Adaptive Immunity,T-cell Checkpoints,HAVCR2 
Adaptive Immunity,T-cell Checkpoints,ICOS 
Adaptive Immunity,T-cell Checkpoints,ICOSLG 
Adaptive Immunity,T-cell Checkpoints,LAG3 
Adaptive Immunity,T-cell Checkpoints,PDCD1 
Adaptive Immunity,T-cell Checkpoints,PDCD1LG2 
Adaptive Immunity,T-cell Checkpoints,PVRIG 
Adaptive Immunity,T-cell Checkpoints,TIGIT 
Adaptive Immunity,T-cell Checkpoints,TNFRSF18 
Adaptive Immunity,T-cell Checkpoints,TNFRSF4 
Adaptive Immunity,T-cell Checkpoints,TNFRSF9 
Adaptive Immunity,T-cell Checkpoints,TNFSF18 
Adaptive Immunity,T-cell Checkpoints,TNFSF4 
Adaptive Immunity,T-cell Checkpoints,TNFSF9 
Adaptive Immunity,T-cell Checkpoints,VSIR
Adaptive Immunity,TCR Signaling,AKT1 
Adaptive Immunity,TCR Signaling,AKT2 
Adaptive Immunity,TCR Signaling,AKT3 
Adaptive Immunity,TCR Signaling,BCL10 
Adaptive Immunity,TCR Signaling,CARD11 
Adaptive Immunity,TCR Signaling,CD247 
Adaptive Immunity,TCR Signaling,CD28 
Adaptive Immunity,TCR Signaling,CD3D 
Adaptive Immunity,TCR Signaling,CD3E 
Adaptive Immunity,TCR Signaling,CD3G 
Adaptive Immunity,TCR Signaling,CD4 
Adaptive Immunity,TCR Signaling,CD40LG 
Adaptive Immunity,TCR Signaling,CD8A 
Adaptive Immunity,TCR Signaling,CD8B 
Adaptive Immunity,TCR Signaling,CDK4 
Adaptive Immunity,TCR Signaling,CHUK 
Adaptive Immunity,TCR Signaling,CSF2 
Adaptive Immunity,TCR Signaling,CTLA4 
Adaptive Immunity,TCR Signaling,CUL1 
Adaptive Immunity,TCR Signaling,FOS 
Adaptive Immunity,TCR Signaling,FYN 
Adaptive Immunity,TCR Signaling,GRB2 
Adaptive Immunity,TCR Signaling,GSK3B 
Adaptive Immunity,TCR Signaling,HLA-DPA1 
Adaptive Immunity,TCR Signaling,HLA-DPB1 
Adaptive Immunity,TCR Signaling,HLA-DQA1 
Adaptive Immunity,TCR Signaling,HLA-DQA2 
Adaptive Immunity,TCR Signaling,HLA-DQB1 
Adaptive Immunity,TCR Signaling,HLA-DRA 
Adaptive Immunity,TCR Signaling,HLA-DRB 
Adaptive Immunity,TCR Signaling,HLA-DRB3 
Adaptive Immunity,TCR Signaling,HLA-DRB4 
Adaptive Immunity,TCR Signaling,HLA-DRB5 
Adaptive Immunity,TCR Signaling,HRAS 
Adaptive Immunity,TCR Signaling,ICOS 
Adaptive Immunity,TCR Signaling,IFNG 
Adaptive Immunity,TCR Signaling,IKBKB 
Adaptive Immunity,TCR Signaling,IKBKG 
Adaptive Immunity,TCR Signaling,IL10 
Adaptive Immunity,TCR Signaling,IL2 
Adaptive Immunity,TCR Signaling,IL4 
Adaptive Immunity,TCR Signaling,IL5 
Adaptive Immunity,TCR Signaling,INPP5D 
Adaptive Immunity,TCR Signaling,ITK 
Adaptive Immunity,TCR Signaling,JUN 
Adaptive Immunity,TCR Signaling,KRAS 
Adaptive Immunity,TCR Signaling,LAT 
Adaptive Immunity,TCR Signaling,LCK 
Adaptive Immunity,TCR Signaling,MAP2K1 
Adaptive Immunity,TCR Signaling,MAP2K2 
Adaptive Immunity,TCR Signaling,MAP3K14 
Adaptive Immunity,TCR Signaling,MAP3K7 
Adaptive Immunity,TCR Signaling,MAP3K8 
Adaptive Immunity,TCR Signaling,MAPK1 
Adaptive Immunity,TCR Signaling,MAPK10 
Adaptive Immunity,TCR Signaling,MAPK11 
Adaptive Immunity,TCR Signaling,MAPK12 
Adaptive Immunity,TCR Signaling,MAPK14 
Adaptive Immunity,TCR Signaling,MAPK3 
Adaptive Immunity,TCR Signaling,MAPK8 
Adaptive Immunity,TCR Signaling,MAPK9 
Adaptive Immunity,TCR Signaling,NFATC1 
Adaptive Immunity,TCR Signaling,NFATC2 
Adaptive Immunity,TCR Signaling,NFATC3 
Adaptive Immunity,TCR Signaling,NFKB1 
Adaptive Immunity,TCR Signaling,NFKBIA 
Adaptive Immunity,TCR Signaling,NFKBIE 
Adaptive Immunity,TCR Signaling,NRAS 
Adaptive Immunity,TCR Signaling,PAK3 
Adaptive Immunity,TCR Signaling,PAK5 
Adaptive Immunity,TCR Signaling,PDCD1 
Adaptive Immunity,TCR Signaling,PIK3CA 
Adaptive Immunity,TCR Signaling,PIK3CB 
Adaptive Immunity,TCR Signaling,PIK3CD 
Adaptive Immunity,TCR Signaling,PIK3R1 
Adaptive Immunity,TCR Signaling,PIK3R2 
Adaptive Immunity,TCR Signaling,PIK3R3 
Adaptive Immunity,TCR Signaling,PLCG2 
Adaptive Immunity,TCR Signaling,PPP3CA 
Adaptive Immunity,TCR Signaling,PPP3CB 
Adaptive Immunity,TCR Signaling,PPP3CC 
Adaptive Immunity,TCR Signaling,PPP3R1 
Adaptive Immunity,TCR Signaling,PPP3R2 
Adaptive Immunity,TCR Signaling,PSMB10 
Adaptive Immunity,TCR Signaling,PSMB2 
Adaptive Immunity,TCR Signaling,PSMB5 
Adaptive Immunity,TCR Signaling,PSMB7 
Adaptive Immunity,TCR Signaling,PSMB8 
Adaptive Immunity,TCR Signaling,PSMB9 
