Endpoint,BP,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,BP ZPH P-value
DSS,IL-1 Signaling,0.461251179,0.170976809,1.073359494,1.244336303,0.506343398,-1.528236626,0.126453798,0.693778006,0.850879498,0.035342635,0.850879498
DSS,IL-17 Signaling,0.435308775,0.097198223,1.852361374,1.949559598,0.764964654,-1.087239349,0.276931045,0.693778006,0.372056508,0.796784451,0.372056508
DSS,IL-2 Signaling,0.571769751,0.240067745,1.121717235,1.361784979,0.442771006,-1.262546313,0.206752272,0.693778006,0.407296228,0.686679148,0.407296228
DSS,IL-6 Signaling,0.440963625,0.156534522,1.085676564,1.242211087,0.52842084,-1.549509079,0.121259391,0.693778006,0.206885578,1.593087444,0.206885578
DSS,Immortality & Stemness,0.906675228,0.172814673,4.584072886,4.756887559,0.845711737,-0.115844397,0.907775864,0.938979833,0.290998953,1.114993916,0.290998953
DSS,Immune Exhaustion,0.834947191,0.505219615,0.874649242,1.379868857,0.25631862,-0.703760031,0.481582228,0.732629055,0.858536909,0.031768403,0.858536909
DSS,Inflammasomes,0.739000278,0.246934953,1.964665321,2.211600274,0.55928239,-0.540794754,0.588649059,0.777209929,0.995785806,2.79E-05,0.995785806
DSS,Insulin Signaling,0.438758196,0.128212214,1.373273088,1.501485302,0.627696046,-1.312429525,0.18937525,0.693778006,0.588641668,0.292470563,0.588641668
DSS,Interferon Response Genes,0.884520465,0.228392319,3.197188966,3.425581284,0.690819227,-0.177629145,0.859014234,0.930512771,0.715513959,0.132831657,0.715513959
DSS,Ion Transport,0.650008318,0.227174404,1.632677788,1.859852192,0.53637064,-0.803120244,0.421905238,0.721512632,0.860863087,0.030721534,0.860863087
DSS,JAK/STAT Signaling,0.741958482,0.29993453,1.535473983,1.835408513,0.46211516,-0.645860636,0.518369615,0.732629055,0.795355394,0.067269018,0.795355394
DSS,Leukemia,0.290971765,0.029907651,2.800958889,2.83086654,1.16079271,-1.063522395,0.287545115,0.693778006,0.712807566,0.135488827,0.712807566
DSS,Lipid Metabolism,0.649792851,0.283411494,1.206403695,1.489815189,0.423351522,-1.018306622,0.308532262,0.693778006,0.967377814,0.001672585,0.967377814
DSS,Lmyphocyte Trafficking,0.608628247,0.252073678,1.217450415,1.469524093,0.449746138,-1.104062021,0.269566234,0.693778006,0.707719505,0.14056547,0.707719505
DSS,Lymphocyte Regulation,0.81887274,0.463207873,0.984419863,1.447627736,0.290695528,-0.687408553,0.49182531,0.732629055,0.968133406,0.001595961,0.968133406
DSS,Lysosome,0.844997241,0.322874292,1.888575658,2.21144995,0.490861215,-0.343115144,0.731511839,0.86629812,0.418392809,0.654825199,0.418392809
DSS,MAPK Signaling,0.579184986,0.197938986,1.496801673,1.694740659,0.547797355,-0.99696239,0.318782766,0.693778006,0.872998614,0.025552275,0.872998614
DSS,Matrix Remodeling and Metastasis,0.757039459,0.309263107,1.543879831,1.853142938,0.456754814,-0.609385808,0.542268742,0.736929316,0.60871353,0.262052535,0.60871353
DSS,Melanoma,0.633365224,0.205713714,1.744333753,1.950047467,0.573766545,-0.795982361,0.426042288,0.721512632,0.687233166,0.162096985,0.687233166
DSS,MET Signaling,0.244325414,0.032445147,1.807426538,1.839871685,1.030095516,-1.36808117,0.17128667,0.693778006,0.961947515,0.002276226,0.961947515
DSS,MHC Class I Antigen Presentation,0.235204544,0.052402846,1.003287467,1.055690314,0.766082763,-1.889221134,0.058862204,0.693778006,0.482175111,0.493939761,0.482175111
DSS,MHC Class II Antigen Presentation,0.815326202,0.335222667,1.647807962,1.983030629,0.453474299,-0.450228378,0.652545776,0.823450622,0.157552278,1.997563617,0.157552278
DSS,Mitochondrial Metabolism,0.533237506,0.173827016,1.461949997,1.635777013,0.571901468,-1.099469728,0.271563231,0.693778006,0.349304896,0.87598072,0.349304896
DSS,mTOR Signaling,0.628516855,0.159743456,2.313180618,2.472924074,0.698887189,-0.664474096,0.506386923,0.732629055,0.508595304,0.436956066,0.508595304
DSS,Myc,0.841043985,0.176198444,3.838337492,4.014535936,0.79748051,-0.21707279,0.828151618,0.924042858,0.550102625,0.357133352,0.550102625
DSS,Myeloid Inflammation,0.141101812,0.023392208,0.827734014,0.851126222,0.916893757,-2.135769347,0.032698219,0.693778006,0.473344953,0.514156735,0.473344953
DSS,Neuroendocrine Function,1.570150718,0.480479653,4.650587314,5.131066967,0.604165188,0.746768636,0.455203231,0.731083977,0.916966201,0.010869312,0.916966201
DSS,Neutrophil Degranulation,0.651455919,0.24514989,1.486014726,1.731164616,0.498651977,-0.859408094,0.390115406,0.721512632,0.803946842,0.061624302,0.803946842
DSS,NF-kB Signaling,0.731636685,0.338942355,1.240359352,1.579301707,0.392585791,-0.795931047,0.426072114,0.721512632,0.975613179,0.00093447,0.975613179
DSS,NK Activity,0.562160438,0.22865611,1.153438416,1.382094526,0.458971757,-1.254909445,0.209511635,0.693778006,0.763235103,0.090742683,0.763235103
DSS,NLR Signaling,0.544175372,0.193277287,1.338857398,1.532134685,0.528145262,-1.152114303,0.249274107,0.693778006,0.972309242,0.001204936,0.972309242
DSS,NO Signaling,1.000942089,0.515191228,1.429494575,1.944685803,0.338862746,0.002778842,0.997782808,0.999535524,0.841414299,0.040033908,0.841414299
DSS,Notch Signaling,0.14423725,0.008706886,2.380710364,2.38941725,1.432345338,-1.351835843,0.176427835,0.693778006,0.431021589,0.620069155,0.431021589
DSS,Nucleotide Synthesis,0.631152677,0.146378558,2.575015249,2.721393807,0.745601284,-0.617230006,0.537083027,0.736929316,0.357817113,0.845540025,0.357817113
DSS,Other Interleukin Signaling,0.710927984,0.318956056,1.265646554,1.58460261,0.408945167,-0.834302909,0.404110313,0.721512632,0.716343514,0.132023158,0.716343514
DSS,Oxidative Stress,0.300750628,0.060134144,1.444018652,1.504152795,0.821292464,-1.462906199,0.143493047,0.693778006,0.465357972,0.532976946,0.465357972
DSS,p53 Signaling,0.773309848,0.118111699,4.944961042,5.063072741,0.958716102,-0.268145566,0.788587273,0.889257989,0.703170804,0.14519432,0.703170804
DSS,PDGF Signaling,0.309910375,0.064306568,1.429233581,1.493540148,0.802372588,-1.460010165,0.14428728,0.693778006,0.115293981,2.480112842,0.115293981
DSS,Pentose Phosphate,0.49558421,0.173439524,1.242637411,1.416076935,0.535677351,-1.310523934,0.190018653,0.693778006,0.361370496,0.833124864,0.361370496
DSS,Phagocytosis,0.496194412,0.168019786,1.297336767,1.465356553,0.552503042,-1.268386626,0.204659915,0.693778006,0.687026142,0.162323644,0.687026142
DSS,PI3K/Akt Signaling,0.78399127,0.303729388,1.719921716,2.023651104,0.483815396,-0.502996383,0.614966815,0.794957102,0.972237498,0.00121119,0.972237498
DSS,PPAR Signaling,0.77538964,0.418601373,1.017679378,1.436280751,0.314519338,-0.808820266,0.418618538,0.721512632,0.99225331,9.43E-05,0.99225331
DSS,Prostate Cancer,0.473359542,0.10429707,2.044078295,2.148375365,0.771754977,-0.969090022,0.332500276,0.693778006,0.856385058,0.032752938,0.856385058
DSS,Proteotoxic Stress,1.331920286,0.227990497,7.55308666,7.781077157,0.900564026,0.318269125,0.750280802,0.873953462,0.28179995,1.15838875,0.28179995
DSS,RAGE Signaling,0.736652766,0.185974577,2.731936604,2.917911182,0.702312218,-0.435189129,0.663425153,0.827330191,0.4183495,0.654947087,0.4183495
DSS,RNA Processing,1.29795803,0.285791133,5.60905602,5.894847153,0.772099046,0.337770504,0.735536139,0.86629812,0.124349128,2.361668489,0.124349128
DSS,RNA Sensing,0.496670998,0.151275548,1.479404916,1.630680464,0.60655443,-1.153775182,0.248592352,0.693778006,0.913730921,0.01173621,0.913730921
DSS,Senescence,0.503537177,0.070040056,3.550026855,3.620066911,1.006442086,-0.681706123,0.495424795,0.732629055,0.12520932,2.350917183,0.12520932
DSS,T cell Checkpoints,0.854550792,0.51922457,0.887213219,1.406437789,0.254208474,-0.618308802,0.536371801,0.736929316,0.998645766,2.88E-06,0.998645766
DSS,T cells,0.771551833,0.448246476,0.879800174,1.32804665,0.277076828,-0.936027118,0.349259226,0.711951499,0.95465128,0.003233836,0.95465128
DSS,TCR Signaling,0.300209236,0.07516752,1.123828883,1.198996403,0.706523426,-1.703093696,0.088550535,0.693778006,0.594748889,0.282988831,0.594748889
DSS,TGF beta Signaling,1.000482138,0.197420755,4.872788353,5.070209108,0.828025439,0.000582134,0.999535524,0.999535524,0.778097793,0.079410562,0.778097793
DSS,Th1 Differentiation,0.549617923,0.214560809,1.193337784,1.407898593,0.479922166,-1.247143745,0.212344795,0.693778006,0.680700037,0.169338878,0.680700037
DSS,Th17 Differentiation,0.817689629,0.398165756,1.281075414,1.67924117,0.367156975,-0.548191793,0.583560216,0.777209929,0.571328592,0.320464565,0.571328592
DSS,Th2 Differentiation,0.714046848,0.372012574,0.998540296,1.37055287,0.332669847,-1.012435328,0.311329954,0.693778006,0.38274365,0.761870942,0.38274365
DSS,Th9 Differentiation,0.702380194,0.314241166,1.25569298,1.569934147,0.410371881,-0.860878755,0.389304824,0.721512632,0.597079783,0.279422801,0.597079783
DSS,TLR Signaling,0.5001439,0.170107631,1.300396188,1.470503818,0.5502471,-1.25917869,0.207965797,0.693778006,0.822977311,0.050049415,0.822977311
DSS,TNF Signaling,0.60558798,0.21900317,1.455569858,1.674573027,0.518945071,-0.966490393,0.333798852,0.693778006,0.915696096,0.011205628,0.915696096
