Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,ACVR2A,1.166986014,0.886905384,0.64860943,1.535514814,0.140023665,1.102844785,0.270094575,0.988058847,0.620478615,0.245195448,0.620478615
PFS,ACY1,1.036599775,0.738035145,0.717910554,1.455945698,0.173324483,0.207390839,0.835704636,0.988058847,0.962321056,0.002231723,0.962321056
PFS,ADA,0.994087822,0.719216736,0.654792722,1.374009458,0.165137117,-0.035907884,0.97135581,0.999856866,0.744104965,0.106551434,0.744104965
PFS,ADAM12,0.777517945,0.584662081,0.449326908,1.03398899,0.145447919,-1.730162638,0.083601222,0.988058847,0.348802886,0.877807521,0.348802886
PFS,ADGRE1,0.909815694,0.672684244,0.557855353,1.230539596,0.154067118,-0.613454933,0.539575573,0.988058847,0.724915529,0.12383148,0.724915529
PFS,ADGRE5,0.909429936,0.686777896,0.517487433,1.204265329,0.143271518,-0.66263917,0.507561677,0.988058847,0.593738282,0.284543979,0.593738282
PFS,ADH1A.B.C,1.007857639,0.741914041,0.627216297,1.369130338,0.15630329,0.050075266,0.96006241,0.999856866,0.380352952,0.769560813,0.380352952
PFS,ADH6,0.888519017,0.658166006,0.541327792,1.199493799,0.153114478,-0.771966376,0.440134342,0.988058847,0.497833471,0.459551893,0.497833471
PFS,ADM,1.05058546,0.807353622,0.559742257,1.367095878,0.134360175,0.367278397,0.713411366,0.988058847,0.113519507,2.504527786,0.113519507
PFS,ADORA2A,1.03820387,0.77359829,0.619718227,1.393316517,0.150102103,0.249777792,0.802759195,0.988058847,0.345291295,0.890686669,0.345291295
PFS,AFDN,1.210858717,0.847390142,0.882838662,1.730228804,0.182107359,1.050642831,0.293422662,0.988058847,0.364143661,0.823552089,0.364143661
PFS,AICDA,0.909971384,0.662472704,0.587462446,1.249935151,0.161958995,-0.582506248,0.560225735,0.988058847,0.570368848,0.322065739,0.570368848
PFS,AIRE,0.970763931,0.713715297,0.606674798,1.320390095,0.156941241,-0.189064134,0.850042551,0.988058847,0.502332569,0.450005024,0.502332569
PFS,AKAP1,0.982019692,0.73123583,0.58757629,1.318812121,0.150449367,-0.120598165,0.904009322,0.988383526,0.200883184,1.635941771,0.200883184
PFS,AKR1C4,0.795506678,0.602010229,0.449185985,1.051196214,0.142198942,-1.608844865,0.107650268,0.988058847,0.415719549,0.662384034,0.415719549
PFS,AKT1,1.103462885,0.817272782,0.672597387,1.489870169,0.153184279,0.642711594,0.520411257,0.988058847,0.894681416,0.01752524,0.894681416
PFS,AKT2,1.066445337,0.755096409,0.75107637,1.506172779,0.176146526,0.365213013,0.714952405,0.988058847,0.442943233,0.588645865,0.442943233
PFS,AKT3,1.243524963,0.875306518,0.891336711,1.766643229,0.179151867,1.21656594,0.223769408,0.988058847,0.887321997,0.020077088,0.887321997
PFS,ALCAM,0.930594077,0.695771092,0.548898807,1.2446699,0.148371328,-0.484811355,0.627810167,0.988058847,0.48768203,0.481636396,0.48768203
PFS,ALDOA,1.06664087,0.794365759,0.637874657,1.432240416,0.15037297,0.429028808,0.66790226,0.988058847,0.56792711,0.326163212,0.56792711
PFS,ALDOC,1.060275193,0.734457079,0.796174891,1.53063197,0.187325999,0.312441898,0.754704713,0.988058847,0.421867591,0.645106765,0.421867591
PFS,ALK,0.875224218,0.647794231,0.534706931,1.182501162,0.153526801,-0.868090624,0.385344723,0.988058847,0.990765129,0.000133968,0.990765129
PFS,ALKBH2,0.887543273,0.658892476,0.536648664,1.19554114,0.151991017,-0.784901653,0.432511233,0.988058847,0.46574679,0.532048759,0.46574679
PFS,ALKBH3,0.916328766,0.674035827,0.571681943,1.24571777,0.156682445,-0.55768892,0.577056825,0.988058847,0.335859495,0.926172432,0.335859495
PFS,AMBP,0.921671503,0.677636545,0.575953399,1.253589944,0.156930331,-0.519761896,0.60322954,0.988058847,0.846368161,0.037540784,0.846368161
PFS,AMER1,0.777732361,0.566437955,0.501406492,1.067844447,0.16174527,-1.554127814,0.120153932,0.988058847,0.762764244,0.09111514,0.762764244
PFS,AMH,1.079620342,0.829315802,0.576156132,1.405471933,0.134575788,0.569266176,0.569175517,0.988058847,0.320145929,0.988350222,0.320145929
PFS,ANGPT1,0.962085007,0.703019322,0.613598203,1.316617525,0.160063367,-0.241482286,0.809181344,0.988058847,0.251794866,1.313317586,0.251794866
PFS,ANGPT2,0.866791918,0.643403192,0.524337717,1.167740909,0.152057574,-0.940146089,0.347142631,0.988058847,0.372142724,0.796497177,0.372142724
PFS,ANGPTL4,0.896458619,0.669168987,0.531780357,1.200949343,0.149194328,-0.732622662,0.463788605,0.988058847,0.463568593,0.537264572,0.463568593
PFS,ANKRD28,0.881713566,0.65762016,0.524549822,1.182169983,0.149614866,-0.841413918,0.400116091,0.988058847,0.588565167,0.292590614,0.588565167
PFS,ANLN,0.821756566,0.630588415,0.440290526,1.070878941,0.135099843,-1.45308145,0.146201141,0.988058847,0.053597067,3.725204413,0.053597067
