Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,SIGLEC8,0.889483858,0.657939554,0.544574459,1.202514014,0.153843794,-0.761252149,0.446506475,0.999089333,0.947618952,0.363778949,0.697763227
PFS,SIN3A,0.975756891,0.705327831,0.644543064,1.349870895,0.165590168,-0.14820814,0.882178508,0.999089333,0.802764079,0.993750786,0.477230762
PFS,SIRPA,0.958154954,0.707595656,0.589841529,1.297437185,0.154664418,-0.276377509,0.78225813,0.999089333,0.827205255,0.892633031,0.398528977
PFS,SIRPB2,1.01824257,0.719030826,0.722935072,1.441965898,0.17751817,0.101838422,0.918884928,0.999089333,0.871775959,0.706067217,0.711037872
PFS,SIRT4,0.97698002,0.704331696,0.650839405,1.355171101,0.166950413,-0.139496973,0.889057448,0.999089333,0.924550319,0.47406877,0.810105164
PFS,SIX1,0.915082664,0.712169418,0.463641086,1.175810503,0.127909786,-0.693777053,0.487822035,0.999089333,0.942045132,0.391244727,0.850987088
PFS,SKP1,0.940327116,0.673505965,0.639348161,1.312854126,0.170274026,-0.361343829,0.717842433,0.999089333,0.951092311,0.346328413,0.931837808
PFS,SKP2,1.078086485,0.795876717,0.664488241,1.460364958,0.15484911,0.485554592,0.627282998,0.999089333,0.877707249,0.680813538,0.460053823
PFS,SLAMF1,1.008443341,0.695883015,0.765509132,1.461392147,0.18927981,0.044420457,0.964569256,0.999089333,0.883851296,0.654495036,0.780205078
PFS,SLAMF6,0.988619453,0.694776425,0.71196161,1.406738035,0.179962172,-0.063601149,0.949287817,0.999089333,0.946349907,0.370087856,0.995873258
PFS,SLAMF7,1.001584453,0.751241795,0.584109117,1.335350912,0.146742959,0.010788924,0.991391851,0.999089333,0.822558808,0.911884881,0.421286078
PFS,SLC11A1,0.969991453,0.682769569,0.695269907,1.378039475,0.179151169,-0.170068772,0.864956052,0.999089333,0.895964454,0.602043274,0.840914028
PFS,SLC16A1,0.907212434,0.648912433,0.61941648,1.268328913,0.170961742,-0.569593164,0.568953666,0.999089333,0.907136929,0.552846745,0.654602126
PFS,SLC16A2,0.987008944,0.689082692,0.724661502,1.413744195,0.183328787,-0.071326374,0.943138005,0.999089333,0.949255412,0.355591617,0.746511281
PFS,SLC1A5,1.18660578,0.880995954,0.71723304,1.598228994,0.151941155,1.126073747,0.260134305,0.999089333,0.706462926,1.396041335,0.272510723
PFS,SLC25A1,1.308698176,0.926672576,0.921543244,1.84821582,0.176119496,1.527558793,0.126622119,0.999089333,0.851719464,0.790577309,0.572298734
PFS,SLC2A1,1.104533747,0.839316219,0.614241774,1.453557993,0.140100045,0.709659288,0.477915444,0.999089333,0.951535593,0.344080951,0.718264545
PFS,SLC39A6,1.214632718,0.884450535,0.783627645,1.66807818,0.161855235,1.201331183,0.229622759,0.999089333,0.517883259,2.272118686,0.179345204
PFS,SLC7A5,0.960287456,0.713495288,0.578947721,1.292443009,0.151562397,-0.267365833,0.789187504,0.999089333,0.895031113,0.606114802,0.580237652
PFS,SMAD2,1.34320749,0.974594424,0.876643708,1.851238132,0.163673555,1.802737182,0.0714295,0.999089333,0.926475969,0.465160878,0.552166874
PFS,SMAD3,0.94972513,0.689760973,0.617906257,1.307667231,0.163180286,-0.316108488,0.751920164,0.999089333,0.63241923,1.720349153,0.321234373
PFS,SMAD4,1.340646245,0.990867521,0.823030218,1.813897738,0.154250899,1.900486626,0.057369288,0.999089333,0.979813938,0.186020122,0.938179816
PFS,SMAD5,1.064031947,0.796608261,0.624622273,1.421230534,0.14768519,0.420254841,0.674299296,0.999089333,0.928855854,0.454088144,0.596434854
PFS,SMAD9,1.255470949,0.908992827,0.82502229,1.734015117,0.164762638,1.380839511,0.167328312,0.999089333,0.683286604,1.495598334,0.283158184
PFS,SMAP1,0.758784532,0.565164781,0.453571674,1.018736455,0.150309148,-1.836464583,0.066288976,0.999089333,0.923447125,0.479152181,0.85518013
PFS,SMARCA4,0.99927312,0.744176471,0.597638016,1.341814486,0.150385384,-0.004835203,0.996142081,0.999089333,0.593663892,1.898849486,0.19871048
PFS,SMARCB1,1.241331577,0.857582802,0.939216386,1.796799189,0.188688262,1.145723924,0.251909402,0.999089333,0.651364745,1.635512176,0.215350922
PFS,SMC1A,0.881641256,0.643289549,0.565017512,1.208307061,0.160814333,-0.783325978,0.433435712,0.999089333,0.93486533,0.425787666,0.972632317
PFS,SMC1B,0.878846894,0.634805127,0.581901908,1.216707034,0.16596868,-0.778126201,0.436494618,0.999089333,0.889456392,0.630325051,0.783719487
PFS,SMC3,0.765484005,0.563916948,0.475182453,1.039099401,0.155921914,-1.713979465,0.086532497,0.999089333,0.683807724,1.49334252,0.286775158
PFS,SMO,0.966773637,0.708413473,0.610944927,1.3193584,0.158643964,-0.212998324,0.83132827,0.999089333,0.951850898,0.342479404,0.845900513
PFS,SMPD3,1.274203359,0.925231405,0.829566575,1.75479798,0.163284925,1.484038818,0.137798623,0.999089333,0.799053239,1.009086774,0.346528877
PFS,SNAI1,1.190740192,0.84901532,0.820992479,1.670007799,0.17258132,1.011552835,0.311751907,0.999089333,0.603305091,1.853767061,0.31174829
PFS,SNAI2,0.915986542,0.691848628,0.520889696,1.212738324,0.143183492,-0.612875165,0.539958886,0.999089333,0.907000916,0.5534512,0.56851266
PFS,SOCS1,1.372717485,0.937741675,1.071717161,2.009458836,0.194428628,1.629350285,0.103238887,0.999089333,0.637689657,1.696601352,0.307652024
PFS,SOCS2,0.979386116,0.711212335,0.637466698,1.348679033,0.163245313,-0.127595183,0.898469343,0.999089333,0.853609173,0.782662954,0.631774204
PFS,SOCS3,0.828412945,0.611040911,0.512072115,1.123113026,0.155282364,-1.212265955,0.225410592,0.999089333,0.942204361,0.390468519,0.741597287
PFS,SOD1,0.836522021,0.588885479,0.599408536,1.188294015,0.179095695,-0.996687464,0.318916236,0.999089333,0.931906584,0.439785061,0.92432595
PFS,SOD2,0.87558272,0.647609579,0.536197956,1.183807535,0.153881204,-0.863430008,0.387901087,0.999089333,0.887935313,0.636900385,0.745124168
PFS,SOS1,0.926047796,0.633014008,0.721718288,1.354732296,0.194102188,-0.395819497,0.692238193,0.999089333,0.760665001,1.168099873,0.481848336
PFS,SOS2,1.180113172,0.864167754,0.747402558,1.611570312,0.158981855,1.041693353,0.297553872,0.999089333,0.93426958,0.428616472,0.809565758
